[1224/161017:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[1224/161017:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[1224/161017:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[1224/161017:INFO:dhcp_proxy_script_adapter_fetcher_win.cc(264)] Error fetching PAC URL from DHCP: 2
[1224/161017:INFO:dhcp_proxy_script_adapter_fetcher_win.cc(264)] Error fetching PAC URL from DHCP: 2
[1224/161017:INFO:dhcp_proxy_script_adapter_fetcher_win.cc(264)] Error fetching PAC URL from DHCP: 2
[1224/161019:INFO:CONSOLE(0)] "event.returnValue is deprecated. Please use the standard event.preventDefault() instead.", source:  (0)
[1224/161033:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161033:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161034:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161034:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161034:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161034:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161034:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161034:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161043:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161043:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161044:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161044:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161044:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161044:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161044:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161055:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161055:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
[1224/161056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1583maxExposableOverlayHeight()=1007", source: http://127.0.0.1:54321/BIBORG-SERVER/Projets/DIOR/NEW_GIRL/FINAL/RICH_MEDIA_UNITS/300x250_rich/EDGE/edge_includes/an.canvas.overlay.min.js (22)
